Time,Pressure-DV01 Monitor: Pressure-DV01 Monitor (Pa),Pressure-TS01 Monitor: Pressure-TS01 Monitor (Pa),Pressure-TS02 Monitor: Pressure-TS02 Monitor (Pa),Pressure-TS03 Monitor: Pressure-TS03 Monitor (Pa),Pressure-TS04 Monitor: Pressure-TS04 Monitor (Pa)
5E-08,1825325,1723.68932330213,1723.68932330192,1723.68932330234,1723.68932330208
2.15E-06,1825325.00002768,1723.69039902187,1723.69161776912,1723.69161308817,1723.69298721182
4.25E-06,1825325.00022009,1731.68235935927,1731.63802484951,1731.47164002177,1731.50083062018
6.35000000000002E-06,1825325.00056529,1725.56860266968,1725.56243758861,1725.64287195422,1725.60635725982
8.45000000000002E-06,1825325.00114171,1725.85060368752,1725.85205841696,1725.83321376397,1725.86406098629
1.055E-05,1825325.00229838,1727.29364059299,1727.28157724587,1727.27926953332,1727.34777493904
1.265E-05,1825325.00587569,1726.65033128142,1726.66939163905,1726.66412973475,1726.6869612993
1.475E-05,1825325.03683302,1726.96153025606,1726.93916112513,1726.92080690608,1726.94075109094
1.685E-05,1825325.06892094,1728.61944067583,1728.62316017252,1728.62695207786,1728.78138746596
1.895E-05,1825325.06838551,1731.09199959342,1731.11530886331,1731.06358989159,1731.90840463364
2.10500000000001E-05,1825325.06328674,1726.67727629132,1726.70188264168,1726.73298161117,1727.2656218761
2.31500000000001E-05,1825325.05889544,1729.57704993975,1729.58449953741,1729.56503176111,1730.13794276887
2.52500000000002E-05,1825325.05755342,1730.39731168278,1730.41987960556,1730.39941572622,1730.79200604402
2.73500000000002E-05,1825325.0582935,1727.06196790698,1727.05107145866,1727.06963138544,1727.51613014271
2.94500000000003E-05,1825325.05952158,1730.54088811857,1730.5637502875,1730.52583809958,1730.89049690125
3.15500000000003E-05,1825325.06192553,1730.8189989993,1730.82814214764,1730.81320774645,1731.10340233185
3.36500000000004E-05,1825325.06597404,1729.8607586424,1729.86500431517,1729.83927679656,1730.17739899713
3.58000000000004E-05,1825325.07243491,1729.76695261398,1729.76008110312,1729.78786477674,1729.92421293214
3.79000000000005E-05,1825325.0811641,1731.57077088073,1731.58120741925,1731.57583796667,1731.8278323558
4.00000000000006E-05,1825325.09279411,31358.8006518331,1730.26920064136,1730.26126683796,1730.51758388508
4.21000000000006E-05,1825325.1091232,27690.27343529,1729.26160960732,1729.28667093032,1729.46474304982
4.42000000000007E-05,1825325.12242419,27597.1113596755,1733.12094648842,1733.06243516642,1733.36118787636
4.63000000000007E-05,1825325.12293443,28298.7492643075,1730.61903661705,1730.62003798566,1730.82925466102
4.84000000000008E-05,1825325.12114045,29346.7364519999,1730.44434312859,1730.43857940934,1730.59384924688
5.05000000000008E-05,1825325.1195694,30605.2308170396,1732.93955798229,1732.91163645157,1733.13881604953
5.26000000000009E-05,1825325.11952839,30437.8069468843,1731.13920366399,1731.16401047858,1731.34220230428
5.47000000000009E-05,1825325.12028966,30818.2669164298,1730.97836008052,1730.96417411094,1731.0694913828
5.6800000000001E-05,1825325.12269346,33688.2321266495,1732.29132445078,1732.28068253465,1732.52695501874
5.8900000000001E-05,1825325.12838099,32297.5653577585,1732.99151938121,1732.93810380036,1733.16403504806
6.10000000000011E-05,1825325.13629306,32061.8668300202,1731.02282234633,1731.02151783812,1731.06432568299
6.31000000000011E-05,1825325.14519067,36410.6350599204,1732.74984822843,1732.73259897366,1732.9982069258
6.52000000000012E-05,1825325.15473046,28713.6855932449,1733.57226473989,1733.53878426502,1733.66978436534
6.73000000000012E-05,1825325.16532087,33845.2753753698,1730.95781890267,1730.9908361463,1731.03868654654
6.94500000000013E-05,1825326.37752248,50618.2896917059,1733.24511441418,1733.21627974087,1733.49514734092
7.15500000000013E-05,1825326.74661858,58301.2736287599,1733.57628474954,1733.55591230415,1733.65995357606
7.36500000000014E-05,1825326.88961374,39264.3975196227,1732.03362515985,1732.03590873734,1732.12216371606
7.57500000000014E-05,1825326.97543786,30793.327096159,1733.25882992981,1733.22130944782,1733.45567959484
7.78500000000015E-05,1825326.94419157,28838.9237656226,1733.97470316137,1733.96279600463,1734.07843073271
7.99500000000015E-05,1825326.91438124,31104.7599630614,1732.95386579682,1732.94377219411,1733.00948058341
8.20500000000016E-05,1825326.93374039,48072.3753634572,1732.67291975803,1732.69047018288,1732.8419131952
8.41500000000016E-05,1825326.94307349,44679.6128971323,1734.69688081283,1734.66646155882,1734.85188385508
8.62500000000017E-05,1825326.93852474,37450.9845559061,1738.5669975811,1733.26539526846,1733.28785400685
8.83500000000017E-05,1825326.93925011,36767.7352842553,26443.3683768377,1733.00071553307,1733.18421187293
9.04500000000018E-05,1825326.95184365,40433.1061868093,27131.5076707382,1735.07098412166,1735.25425605584
9.25500000000018E-05,1825326.97758091,48648.2061895932,27435.9324561525,1733.63823343601,1733.6165027933
9.46500000000019E-05,1825326.98128929,58534.4525401279,27658.6149597598,1733.48288963623,1733.67961133103
9.67500000000019E-05,1825326.98285185,64295.1532967501,27613.2263302737,1734.82427142632,1734.97952499654
9.8850000000002E-05,1825326.98458754,60137.5279457296,27786.385111747,1734.41864577585,1734.42256284715
0.00010095,1825326.98598359,57445.2224046821,27737.5859386034,1733.66725232241,1733.83431156239
0.00010305,1825326.98493667,62014.2777684496,27612.4791808308,1734.85610190411,1735.00975467733
0.0001052,1825326.9847011,77866.0114080395,27294.2950057502,1735.1915253889,1735.22651963557
0.0001073,1825326.98641909,90524.2326030928,27230.2115136226,1733.7352106661,1733.83156074132
0.0001094,1825326.99144455,81391.0467120971,27415.84502272,1735.1628837539,1735.34311140167
0.0001115,1825327.00029972,69631.1069442688,28706.385080723,1735.47346341568,1735.48385885061
0.0001136,1825327.00996285,64222.621976296,28316.0610170825,1734.10173340653,1734.17817042032
0.0001157,1825327.02037009,65897.5229934346,28630.3600779663,1735.31109897504,1735.517737744
0.0001178,1825327.03091968,75979.5256598568,28942.0461366146,1735.69094948347,1735.69118865306
0.0001199,1825327.03743186,88112.2243173936,30311.2840530543,1734.80891229745,1734.83497086282
0.000122,1825327.03884377,84133.4482305991,31107.0233719381,1735.33462971778,1735.3616071148
0.0001241,1825327.03887026,76669.3167503797,31688.0675860256,1736.3564152552,1736.11421926909
0.0001262,1825327.03926215,71417.1863510635,31721.6397120928,1735.47539580944,1735.24423088451
0.0001283,1825327.04068708,68942.277743004,32691.0724938504,1735.41508562966,1735.30422835061
0.0001304,1825327.04366717,69853.0901494851,32178.3579615646,1736.77389799101,1736.55193187902
0.0001325,1825327.0486182,75909.1672444882,33050.6503494453,1735.74766625026,1735.50310882402
0.0001346,1825327.05596366,87185.9521724658,35183.7363068801,1735.64650507309,1735.57585756153
0.0001367,1825327.0653411,89350.8285870263,37588.90706505,23415.80076901,1736.66945854959
0.00013885,1825327.07587255,82816.4197770896,35798.9759440567,24211.6026720354,1735.87470871463
0.00014095,1825327.08531598,75522.5135888066,30315.9550268217,24706.9729623189,1735.82686717811
0.00014305,1825327.09246964,74254.6113789922,27294.647556686,25054.4465712238,1736.67508483473
0.00014515,1825327.09690436,79186.9793511791,26541.9031757274,25316.9626901353,1736.44370090542
0.00014725,1825327.0995015,85231.4690123875,28849.5474596421,25450.9322289985,1735.92170481106
0.00014935,1825327.10159735,90735.7977608971,35785.0949669835,25684.4097292538,1736.82565734703
0.00015145,1825327.1039702,92501.870822499,45885.3487041942,25638.9610694549,1736.85638973747
0.00015355,1825327.10737008,86066.0054089788,40008.670485291,25755.340337618,1736.06118348996
0.00015565,1825327.11222129,79888.6760138749,36064.0891725266,25732.5706232234,1737.01563824246
0.00015775,1825327.11877412,80689.3246662315,39055.309300939,25711.9605982417,1737.08372106017
0.00015985,1825327.12683033,89281.5074783685,45912.4798592936,26230.9197271252,1736.40571552701
0.00016195,1825327.1356705,97026.6326850675,49166.1950399235,25551.313177055,1737.07740842373
0.00016405,1825327.14419528,88431.3960913349,46453.9427739147,26029.6976312227,1737.34697422269
0.00016615,1825327.15130052,80568.5561522579,41993.1044507143,26073.6258470692,1736.77980664892
0.00016825,1825327.15636597,79292.0164051546,39317.0265260255,26410.7263199329,21746.572513513
0.00017035,1825327.15949197,81595.3654341048,39885.6664237805,26736.7332670671,23325.5775333897
0.0001725,1825327.15774487,82619.0542018259,43919.386223389,27174.0695779212,23721.2713200855
0.0001746,1825327.36604595,82497.5118452231,48755.6290082542,27743.5714973604,24179.8675082551
0.0001767,1825317.76442379,86164.9720686686,47726.030913377,28233.6778859613,24504.2617747964
0.0001788,1825349.80535763,170442.347777342,42111.3260088617,28792.5162765802,24956.5036582397
0.0001809,1825309.81482918,155446.360573644,38409.4899904541,29364.8612617484,24945.9584098636
0.000183,1825128.85461721,162070.24452544,38377.8056522402,29800.8730424519,26400.0387612272
0.0001851,1827746.20030749,167617.509624054,42055.901933163,30281.265514747,60252.9081440723
0.0001872,1825296.19155438,154744.241660744,48139.3816462258,30733.2124536126,81515.9284014105
0.0001893,1809274.78397511,149958.660315147,49113.8789317072,30957.873244895,93152.2570933596
0.0001914,1797069.60169957,150631.823201099,44131.2927617018,31246.6743693931,100325.926499958
0.0001935,1785945.43122477,162040.237024707,39514.0351721074,31492.6729517129,98687.1914341171
0.0001956,1775876.1513844,177510.444744997,38450.8245092935,31779.8751099352,90038.7059356595
0.0001977,1767661.73110822,161746.149444108,41244.6427927155,32171.8107064213,61752.3369845102
0.0001998,1757813.40098638,168665.601261812,47719.1539128683,32801.7469433254,25516.0605690547
0.0002019,1746892.59310996,177668.183595539,50451.9109401314,33862.0415367431,107629.063445982
0.000204,1738999.91661451,165951.789651417,46081.798881926,35073.4488094604,137410.874986636
0.0002061,1731383.81817801,181729.786539272,41768.2524953931,35723.0464134072,57898.2264566075
0.00020825,1724212.1344873,200459.397883676,41019.1965740908,37049.5800059534,158213.435450415
0.00021035,1718036.279256,172530.150260375,44091.9896959657,39140.994653565,105694.322844142
0.00021245,1712304.46551275,166751.331083839,49822.5392783752,41520.4375641415,154470.942292025
0.00021455,1707444.43761433,188812.049637971,52397.7342404022,42980.5632920287,151591.645402707
0.00021665,1702971.85959422,179305.056433712,49591.090907094,41731.8181666812,141319.278385836
0.00021875,1698479.93841004,158667.276936988,46208.6665434187,36904.4499134446,160562.856540975
0.00022085,1692367.89988663,187529.032413758,45164.9110296918,34159.3337621762,158646.418700015
0.00022295,1688789.58709055,246558.805624728,46921.0730155002,38108.802756262,179130.327534225
0.00022505,1686661.65410878,192996.120684205,51150.8504112762,41595.0911286843,185646.894844726
0.00022715,1685104.8027235,173671.006841415,54790.5148761324,39363.4727891228,189417.558536346
0.00022925,1683058.53603209,200941.932294089,53863.5213572069,38352.8041115902,202440.026444086
0.00023135,1681264.32303681,230146.465645255,50549.5556537607,39402.9972657568,217034.914770983
0.00023345,1680335.6730221,197100.873414422,48908.7418679593,40381.8634557046,232052.814363189
0.00023555,1679621.18270512,186276.487285298,49961.2058318151,40210.4072342803,248887.939225734
0.00023765,1678750.97771335,216658.056455978,53123.4206524961,39532.9164987776,265095.442993519
0.00023975,1677678.00457955,265767.68536682,56950.3492984439,38860.5935501965,280833.977480229
0.0002419,1677290.08910285,234664.509489022,58128.9075705925,38542.7735768481,295738.08525478
0.000244,1677229.9637994,214446.323330284,54794.9950488569,38785.8834097628,309550.109670677
0.0002461,1678158.41225938,234974.636796961,50855.3048909386,39686.2341022206,325024.352528749
