Time,Pressure-DV01 Monitor: Pressure-DV01 Monitor (Pa),Pressure-TS01 Monitor: Pressure-TS01 Monitor (Pa),Pressure-TS02 Monitor: Pressure-TS02 Monitor (Pa),Pressure-TS03 Monitor: Pressure-TS03 Monitor (Pa),Pressure-TS04 Monitor: Pressure-TS04 Monitor (Pa)
5E-08,1825325.0079598,1723.73850209963,1723.89222273338,1723.75266482103,1723.68932330069
1.15E-06,1825325.20265465,1724.79234844985,1728.30305967212,1725.15153712174,1723.68932791469
2.3E-06,1825325.26392263,1725.90270629645,1732.47792627923,1726.33056189719,1723.69882950321
3.45E-06,1825325.33159185,1726.77207020205,1737.04083647353,1727.98734287611,1723.94062756379
4.6E-06,1825325.43213573,1733.85683163529,1745.5825438688,1738.27920401141,1730.13730633177
5.75000000000001E-06,1825325.64819436,1731.31516631214,1746.45854767921,1733.59441875247,1725.99499680549
6.85000000000002E-06,1825325.83446682,1732.20084029975,1750.347864114,1735.72540799015,1725.54495106984
8.00000000000002E-06,1825325.93477176,1734.21589859817,1754.88397677006,1737.40033019618,1725.70690021831
9.15000000000001E-06,1825326.04095087,1735.99971136384,1760.49085984942,1735.75062296276,1726.21728301025
1.03E-05,1825326.17389726,1737.79879552458,1765.58960487765,1740.370509042,1727.05963294503
1.145E-05,1825326.30982962,1743.38844723409,1773.89781849961,1746.54290181823,1731.19650499911
1.255E-05,1825326.44249929,1740.17097891882,1773.56186643062,1743.23181643963,1727.33172093089
1.37E-05,1825326.58512522,1740.81940588601,1778.30647527972,1744.46379798591,1726.17196511975
1.485E-05,1825326.56120645,1743.35137441792,1783.12172694567,1745.8945919869,1727.06418191618
1.6E-05,1825326.33995386,1746.11541472413,1789.56057174176,1748.57371164876,1727.91282765467
1.715E-05,1825327.082446,1748.85677709014,1795.99024283957,1753.0741830147,1729.34745830113
1.825E-05,1825327.81291478,1751.8932233227,1801.8991502734,1756.67909875521,1731.02401892342
1.94000000000001E-05,1825328.13244892,1752.8438709753,1805.09005449634,1757.51443137397,1731.25847174179
2.05500000000001E-05,1825328.57543364,1751.17272797374,1809.01030408347,1756.61965562569,1726.51876528034
2.17000000000001E-05,1825328.70935126,1755.97571814506,1818.08786456031,1761.41203329842,1728.78607906359
2.28500000000001E-05,1825329.44586863,1759.15549582501,1826.79302733857,1766.54312104888,1730.07955988645
2.39500000000002E-05,1825329.65312672,1761.89018641382,1832.83998349641,1771.18314977326,1730.68115306036
2.51000000000002E-05,1825330.03806641,1764.37949341036,1838.99776423817,1774.73607465715,1730.94623513095
2.62500000000002E-05,1825330.39069947,1766.73312540149,1844.82707341282,1777.47492277613,1731.10209026095
2.74000000000002E-05,1825330.98581556,1766.61648925197,1847.99315800366,1777.22564251705,1727.81289386227
2.85500000000003E-05,1825331.25862311,1771.02504494657,1857.75892374849,1782.26867638754,1729.27718273216
2.97000000000003E-05,1825331.52254421,1774.7194782748,1865.84520059203,1786.82927917024,1731.80413353708
3.08000000000003E-05,1825331.98462405,1778.43255741392,1872.76472484667,1791.7977548515,1732.14606781893
3.19500000000004E-05,1825332.74199949,1780.29878149906,1878.59033570896,1794.57011759377,1732.08204393373
3.31000000000004E-05,1825332.63310695,1782.49732279446,1887.07516314695,1798.14912068515,1731.90890049429
3.42500000000004E-05,1825333.61466656,1784.24327588176,1892.52413217432,1799.66174912179,1730.60089741705
3.54000000000004E-05,1825334.33406964,1788.14909499443,1903.58783328334,1803.54204800259,1730.34855947213
3.65000000000005E-05,1825334.56719695,1793.24401922859,1911.67696055055,1811.08835365967,1734.15954188719
3.76500000000005E-05,1825336.11660095,1796.71191238149,1919.40095856389,1815.179254546,1734.33230870245
3.88000000000005E-05,1825336.87138445,1799.28844577796,1922.99545107322,1818.62932808115,1733.6891904895
3.99500000000006E-05,1825337.54997321,31520.3115107363,1930.52842408091,1822.31064925803,1733.26704194305
4.11000000000006E-05,1825338.50737791,30249.3669490103,1939.09850237265,1827.39363348059,1732.91220033495
4.22000000000006E-05,1825338.96459494,27685.646727657,1949.75101761556,1830.7917999216,1733.08413007675
4.33500000000006E-05,1825339.49650235,28496.4491247291,1959.38341271311,1837.16558185608,1736.55270004708
4.45000000000007E-05,1825339.95901967,28510.6556423001,1964.5741854373,1840.95211681852,1738.09363760219
4.56500000000007E-05,1825340.62286655,27687.0856460906,1969.62354429701,1844.3973518057,1737.39506708339
4.68000000000007E-05,1825341.81388863,29316.2221615855,1976.66868404578,1851.16400481232,1736.50549929796
4.79000000000007E-05,1825342.85310481,29400.3512503831,1984.33428187418,1857.53939234214,1738.6042720707
4.90500000000008E-05,1825343.62354838,29614.3374964544,1993.06320643866,1860.93033724428,1738.51285405188
5.02000000000008E-05,1825344.37236547,31264.0602870261,1999.37780130086,1867.51089643277,1740.86071859094
5.13500000000008E-05,1825345.67765425,29122.9517463196,2005.87356852277,1870.8899565047,1743.79820429182
5.25000000000009E-05,1825347.65999781,30549.9585474339,2011.98133096761,1873.68102616278,1739.87546184717
5.36500000000009E-05,1825348.1199459,31039.2120156287,2020.2784851441,1884.62125177402,1740.07990773776
5.47500000000009E-05,1825348.68768679,30965.7256552138,2031.46107092056,1893.74980834559,1741.28944917116
5.59000000000009E-05,1825348.92312311,30302.8149686407,2038.10726203148,1907.10705431284,1742.18720100424
5.7050000000001E-05,1825348.96796558,32528.907448519,2046.31843326379,1925.32434958895,1744.96183119438
5.8200000000001E-05,1825349.15095062,31679.7045187033,2053.55475657387,1935.68994266567,1749.5444020116
5.9350000000001E-05,1825351.03256683,33375.4261183655,2060.18980018204,1944.9336840661,1746.9513255746
6.04500000000011E-05,1825352.44423491,32675.792455537,2068.39739197168,1958.49231994366,1747.93706400153
6.16000000000011E-05,1825353.97798691,32672.9106157765,2075.83330268363,1969.09421268683,1750.90828494357
6.27500000000011E-05,1825355.75829808,36468.9882897139,2080.47759271006,1979.50283868234,1751.04522760407
6.39000000000011E-05,1825355.82361517,29958.1960115656,2088.68757948439,1991.0478893594,1756.35867863776
6.50500000000012E-05,1825356.34967047,27996.9927102889,2095.92560325972,1998.70802004338,1761.90770476949
6.61500000000012E-05,1825356.68171928,34466.5344174672,2103.10330756719,2018.60659401877,1759.6695987953
6.73000000000012E-05,1825357.23550233,34362.596346976,2117.70070935081,2043.17581885317,1764.04754084715
6.84500000000012E-05,1825359.51450603,36203.1679178031,2119.95883908147,2059.35370737003,1772.55050367587
6.96000000000013E-05,1825361.45572059,54086.8453502565,2129.05180669173,2080.12216392714,1778.40282310933
7.07500000000013E-05,1825362.56307771,63709.103929137,2134.00169157951,2157.9511541213,1790.48218155878
7.18500000000013E-05,1825364.04460268,55507.6222665203,2142.00915362174,2247.98611399958,1807.01313082485
7.30000000000014E-05,1825364.80391833,44118.4466712061,2149.63495993303,2370.19527996627,1816.47682148028
7.41500000000014E-05,1825366.25954645,36269.2363902665,2156.09286863434,2452.79147667119,1834.97237797648
7.53000000000014E-05,1825368.04709731,31910.2111769014,2157.70146806281,2587.93405451647,1879.72200883656
7.64500000000014E-05,1825370.02777531,29666.9758169266,2164.91032674216,2806.58844032434,1921.07238254126
7.76000000000015E-05,1825371.83382106,28904.276069812,2171.78469986617,2960.14286592197,1974.54070114766
7.87000000000015E-05,1825372.84682893,29255.5368099572,2179.77371417962,3058.82212495996,1996.57983970756
7.98500000000015E-05,1825373.8647974,30931.9449277839,2186.17631092564,3193.33029615649,2017.31321964087
8.10000000000015E-05,1825374.80345131,38643.8334498486,2192.66198413717,3443.50627478329,2034.7273754091
8.21500000000016E-05,1825375.76939956,48871.117951457,2198.88376069715,3693.39117360165,2048.56352263976
8.33000000000016E-05,1825374.99059071,48398.5380730298,2205.69272229644,3911.56928462026,2083.19409022038
8.44000000000016E-05,1825375.73220071,43508.5020775011,2217.54722379088,4121.21094270227,2130.65079929261
8.55500000000017E-05,1825376.39618225,39079.4404696214,2220.00926315771,4274.24415185418,2184.04553133041
8.67000000000017E-05,1825377.33166525,36902.1299317296,25676.4231156991,4356.78983683545,2251.54575647597
8.78500000000017E-05,1825380.74812627,36582.6866300024,26681.0826042654,4498.67592746184,2328.67450317589
8.90000000000017E-05,1825384.47168848,37526.3587328449,26788.8272640978,4639.72158562817,2388.54152506881
9.01000000000018E-05,1825386.79581402,39616.8658707026,27086.918482415,4791.55250394206,2434.31563956525
9.12500000000018E-05,1825388.72771732,43280.8921980842,27421.4196831506,4898.16281482751,2506.41750164513
9.24000000000018E-05,1825390.35091214,48140.6973980624,27637.2201780876,5008.81721471374,2617.10605048781
9.35500000000019E-05,1825389.70592871,53442.9412194313,27964.2789295385,5271.06864743517,2770.66751661571
